Sample ID#,Date,Time,Site ID,Easting,Northing,Condition,Initial,,
409,5/22/2018,08:52:00,10B3-2,578994,4865664,2,DT,,
410,5/22/2018,08:59:00,10B3-2,578995,4865650,2,DT,,
411,5/22/2018,09:00:00,10B3-2,578907,4865646,2,DT,,
412,5/22/2018,09:10:00,10B3-2,578995,4865636,3,DT,,
413,5/22/2018,09:29:00,10B3-3,579845,4865621,2,DT,,
414,5/22/2018,09:29:00,10B3-3,579803,4865446,1,EH,,
415,5/22/2018,10:07:00,10B3-3,578794,4865280,2,EH,,
416,5/22/2018,10:12:00,10B3-3,578784,4865291,2,AW,,
417,5/22/2018,11:00:00,10B3-3,578267,4865729,1,AW,,
418,5/22/2018,11:00:00,10B3-3,578267,4865729,1,AW,,
419,5/22/2018,11:36:00,10B3-6,578595,4865976,1,AW,,
420,5/22/2018,11:43:00,10B3-6,578555,4866000,1,DT,,
421,5/22/2018,11:43:00,10B3-6,578555,4866000,1,DT,,
422,5/22/2018,11:43:00,10B3-6,578555,4866000,1,AW,,
423,5/22/2018,11:43:00,10B3-6,578555,4866000,1,AW,,
424,5/22/2018,14:29:00,10B2-6,584319,4866190,2,AW,,
425,5/23/2018,08:52:00,9A1-1,570215,4847396,2,DT,,
426,5/23/2018,09:06:00,9A1,570262,4847577,1,DT,,
427,5/23/2018,09:46:00,9A1-3,570148,4848108,2,EH,,
428,5/23/2018,10:47:00,9A1-6,569775,4847465,2,DT,,
429,5/23/2018,12:19:00,9A3-1,565682,4847402,3,EH,,
430,5/23/2018,12:29:00,9A3,565695,4847424,2,EH,,
431,5/23/2018,12:42:00,9A3,565705,4847632,2,EH,,
432,5/23/2018,13:07:00,9A3,565773,4847866,2,EH,,
433,5/23/2018,13:27:00,9A3-3,565987,4847972,2,DT,,
434,5/23/2018,13:30:00,9A3-3,565897,4847972,2,DT,,
435,5/23/2018,13:35:00,9A3-3,565906,4847966,2,DT,,
436,5/23/2018,13:40:00,9A3-3,565906,4847966,2,DT,,
437,5/23/2018,13:45:00,9A3-3,565906,4847967,3,DT,,
438,5/23/2018,13:45:00,9A3-3,565906,4847967,2,DT,,
439,5/23/2018,13:49:00,9A3-3,565910,4847967,2,DT,,
440,5/23/2018,13:53:00,9A3-3,565937,4847952,2,DT,,
441,5/23/2018,13:56:00,9A3-3,565937,4847952,2,DT,,
442,5/23/2018,14:02:00,9A3-3,565968,4847932,2,DT,,
443,5/23/2018,14:29:00,9A3-4,566152,4847827,2,DT,,
444,5/23/2018,14:34:00,9A3-4,566153,4847824,2,DT,,
445,5/23/2018,14:37:00,9A3-4,566166,4847823,2,DT,,
446,5/23/2018,14:40:00,9A3-4,566174,4847819,2,DT,,
447,5/23/2018,14:44:00,9A3-4,566174,4847807,2,DT,,
448,5/23/2018,14:45:00,9A3-4,566174,4847807,2,DT,,
449,5/23/2018,14:49:00,9A3-4,566175,4847802,2,DT,,
450,5/23/2018,14:53:00,9A3-4,566211,4847800,2,DT,,
451,5/23/2018,14:56:00,9A3-4,566205,4847794,2,DT,,
452,5/23/2018,14:58:00,9A3-4,566205,4847795,2,DT,,
453,5/23/2018,15:00:00,9A3-4,566215,4847794,2,DT,,
454,5/23/2018,15:02:00,9A3-4,566217,4847790,2,DT,,
455,5/23/2018,15:02:00,9A3-4,566217,4847790,2,DT,,
456,5/23/2018,15:07:00,9A3-4,566224,4847788,2,DT,,
457,5/24/2018,09:41:00,7B1-1,542512,4929588,3,DT,,
458,5/24/2018,09:45:00,7B1-1,542518,4929585,3,DT,,
459,5/24/2018,10:04:00,7B1-2,542550,4929986,2,DT,,
460,5/24/2018,10:08:00,7B1-4,542561,4930024,2,DT,,
461,5/24/2018,10:42:00,7B1-5,543024,4930088,2,EH,,
462,5/24/2018,11:04:00,7B1-6,543227,4929701,2,DT,,
463,5/24/2018,11:19:00,7B1-6,542993,4929537,2,DT,,
464,5/24/2018,11:23:00,7B1-6,542948,4921502,2,DT,,
465,5/24/2018,12:54:00,7B5-2,539579,4929289,2,EH,,
466,5/24/2018,12:59:00,7B5-2,538529,4929381,2,EH,,
467,5/24/2018,13:29:00,7B5-3,539140,429289,2,DT,,
468,5/24/2018,14:07:00,7B5-5,539415,4928762,2,EH,,
469,5/24/2018,14:11:00,7B5-5,539433,4928772,2,EH,,
470,5/24/2018,14:12:00,7B5-5,539436,4928771,2,EH,,
471,5/24/2018,14:18:00,7B5-5,539443,4928782,2.5,EH,,
472,5/24/2018,14:21:00,7B5-5,539415,4928762,3,EH,,
473,5/24/2018,14:25:00,7B5-5,539482,4928789,3,EH,,
474,5/25/2018,11:45:00,6C3-1,521687,4877258,3,EH,,
475,5/25/2018,12:15:00,6C3-1,521765,4876952,3,EH,,
476,5/25/2018,13:19:00,6C3-3,522270,4876894,3,DT,,
477,5/26/2018,10:15:00,2B1-6,506417,4852202,3,DT,,
478,5/26/2018,10:27:00,2B4-1,506369,4851968,2,AW,,
479,5/26/2018,11:32:00,2B4-1,504108,4850353,2,EH,,
480,5/26/2018,11:35:00,2B4,504169,4850345,2,EH,,
481,5/26/2018,11:45:00,2B4,504279,4850325,2,EH,,
482,5/26/2018,12:31:00,2B4-4,504445,4849804,2,EH,,
483,5/26/2018,12:40:00,2B4-4,504429,4849192,1,DT,,
484,5/26/2018,12:46:00,2B4-4,504398,4849757,3,DT,,
485,5/26/2018,12:50:00,2B4-4,504394,4849747,3,DT,,
486,5/26/2018,12:53:00,2B4-4,504397,4849737,2,DT,,
487,5/26/2018,12:56:00,2B4-4,504387,4849737,2,DT,,
488,5/26/2018,13:01:00,2B4-4,504385,4849737,2,DT,,
489,5/26/2018,13:02:00,2B4-4,504385,4849737,2,DT,,
490,5/26/2018,13:02:00,2B4-4,504385,4849737,3,DT,,
491,5/26/2018,13:07:00,2B4-4,504375,4849733,3,DT,,
492,5/26/2018,13:07:00,2B4-4,504375,4849733,3,DT,,
493,5/26/2018,13:33:00,2B4-5,504039,4849591,3,EH,,
494,5/26/2018,13:37:00,2B4-5,504023,4849628,3,EH,,
495,5/26/2018,13:42:00,2B4-5,504020,4849646,3,EH,,
496,5/26/2018,13:45:00,2B4-5,504015,4849655,3,EH,,
497,5/26/2018,13:48:00,2B4-5,504039,4849591,NA,NA,,
498,5/26/2018,14:05:00,2B4-6,503896,4849860,NA,NA,,
499,5/30/2018,09:02:00,12B2-1,584393,4943903,2,DT,,
500,5/30/2018,09:33:00,12B2,584182,4944011,2,DT,,
501,5/30/2018,11:03:00,12B2-4,583710,4943646,2,AU,,
502,5/30/2018,11:22:00,12B2-4,583715,4943613,2,AU,,
503,5/30/2018,14:03:00,12B3-1,583192,4945821,3,AU,,
504,5/30/2018,14:14:00,12B3,583218,4945726,2,AU,,
505,5/30/2018,14:28:00,12B3-2,583250,4945514,2,AU,,
506,5/30/2018,15:43:00,12B3-5,582513,4945576,2,AU,,
507,5/31/2018,08:48:00,7A2-3,549212,4939901,3,AU,,
508,5/31/2018,09:26:00,7A2-5,549533,4939417,1,AW,,
509,5/31/2018,10:36:00,7A4-2,545431,4942645,2,AU,,
510,5/31/2018,10:39:00,7A4-2,545431,4942645,3,AU,,
511,5/31/2018,10:43:00,7A4-2,545454,4942672,3,AU,,
512,5/31/2018,10:47:00,7A4-2,545471,4942728,2,AU,,
513,5/31/2018,10:50:00,7A4-2,545473,4942732,3,AU,,
514,5/31/2018,10:55:00,7A4,545470,4942735,2,AU,,
515,5/31/2018,11:04:00,7A4,545718,4942795,2,AU,,
516,5/31/2018,11:19:00,7A4-3,545802,4942726,2,AU,,
