TSCT,Date,Weather,StartTime,EndTime,StartEasting,StartNorthing,EndEasting,EndNorthing,Obs1,CTR Obs,Gastropods,Dist,
10B3-1,22-May,Overcast,08:07:00,08:17:00,579019,4865960,579000,4865876,DT,AW,NA,86.12200648,
10B3-2,22-May,Overcast,08:41:00,09:16:00,578995,4865674,579000,4865578,DT,AW,NA,96.13012015,
10B3-3,22-May,Rain,09:54:00,NA,578803,4865280,578717,4865319,EH,AW,NA,94.42986816,
10B3-4,22-May,Rain,10:34:00,10:47:00,578533,4865406,578448,4865457,EH,AW,NA,99.12618221,
10B3-5,22-May,Rain,11:09:00,11:17:00,578240,4865756,578318,4865814,DT,AW,NA,97.20082304,
10B3-6,22-May,Rain,11:27:00,11:57:00,578478,4865947,578565,4866002,DT,AW,NA,102.9271587,
10B2-1,22-May,Rain,12:41:00,12:56:00,584858,4866396,584840,4866303,EH,AW,NA,94.72592042,
10B2-2,22-May,Rain,13:06:00,13:16:00,584822,4866095,584809,4865999,EH,AW,NA,96.87620967,
10B2-3,22-May,Rain,13:37:00,13:46:00,584658,4865576,584569,4865609,DT,AW,NA,94.9210198,
10B2-4,22-May,Rain,13:55:00,14:04:00,584372,4865680,584273,4865689,DT,AW,NA,99.40824915,
10B2-5,22-May,Rain,14:20:00,14:37:00,584149,4865914,584205,4865995,EH,AW,NA,98.47334665,
10B2-6,22-May,Rain,14:57:00,15:08:00,584306,4866196,584362,4866258,EH,AW,NA,83.5463943,
9A1-1,23-May,Clear,08:46:00,09:00:00,570215,4847396,570247,4847485,DT,AW,NA,94.57801013,
9A1-2,23-May,Clear,09:12:00,09:20:00,570282,4847686,570312,4847786,DT,AW,NA,104.4030651,
9A1-3,23-May,Clear,09:38:00,09:53:00,570199,4848126,570101,4848099,EH,AW,NA,101.651365,
9A1-4,23-May,Clear,10:02:00,10:10:00,569906,4848058,569800,4848053,EH,AW,NA,106.117859,
9A1-5,23-May,Clear,10:22:00,10:31:00,569585,4847795,569628,4847708,DT,AW,NA,97.04638066,
9A1-6,23-May,Clear,10:40:00,10:53:00,569735,4847537,569782,4847447,DT,AW,NA,101.5332458,
9A3-1,23-May,Clear,12:07:00,12:22:00,565676,4847309,565677,4847400,EH,AW,NA,91.00549434,
9A3-2,23-May,Clear,12:47:00,12:58:00,565687.1,4847604.4,565692,4847703,EH,AW,NA,98.72167948,
9A3-3,23-May,Clear,13:20:00,14:05:00,565884,4847980,565970,4847926,DT,AW,NA,101.5480182,
9A3-4,23-May,Clear,14:17:00,15:10:00,566147,4847828,566236,4847784,DT,AW,NA,99.28242543,
9A3-5,23-May,Clear,15:32:00,15:48:00,566504,4847416,566434,4847361,EH,AW,NA,89.02246907,
9A3-6,23-May,Clear,15:55:00,16:06:00,566267,4847228,566189,4847167,EH,AW,NA,99.02019996,
7B1-1,24-May,Clear,09:34:00,09:50:00,542523,4929575,542533,4929677,DT,AW,NA,102.4890238,
7B1-2,24-May,Clear,09:58:00,10:12:00,542557,4929976,542558,4930079,DT,AW,NA,103.0048543,
7B1-3,24-May,Clear,10:20:00,10:28:00,542767,4930242,542850,4930191,EH,AW,NA,97.41663102,
7B1-4,24-May,Clear,10:33:00,10:47:00,543033,4930090,543107,4930031,EH,AW,NA,94.64142856,
7B1-5,24-May,Clear,10:57:00,11:06:00,543264,4929739,543189,4929676,DT,AW,NA,97.9489663,
7B1-6,24-May,Clear,11:13:00,11:25:00,543020,4929563,542942,4929499,DT,AW,NA,100.895986,
7B5-1,24-May,Clear,12:18:00,12:39:00,539862,4929273,539770,4929302,EH,AW,NA,96.46242792,
7B5-2,24-May,Clear,12:45:00,13:03:00,539576,4929374,539479,4929381,EH,AW,NA,97.25224933,Edited end easting
7B5-3,24-May,Clear,13:20:00,13:34:00,539131,4929356,539138,4929255,DT,AW,NA,101.2422837,
7B5-4,24-May,Clear,13:40:00,13:54:00,539131,4929054,539126,4928953,DT,AW,NA,101.1236866,
7B5-5,24-May,Clear,14:02:00,14:29:00,539325,4928715,539415,4928762,EH,AW,NA,101.5332458,Edited start coords
7B5-6,24-May,Clear,14:37:00,14:45:00,539689,4928886,539775,4928911,EH,AW,NA,89.56003573,
6C4-1,25-May,Clear,08:52:00,09:06:00,523783,4878371,523714,4878300,DT,AW,NA,99.00505038,
6C4-2,25-May,Clear,09:18:00,09:27:00,523552,4878162,523482,4878091,DT,AW,NA,99.70456359,
6C4-3,25-May,Clear,09:39:00,09:50:00,523172,4877960,523108,4878037,EH,AW,NA,100.124922,
6C4-4,25-May,Clear,09:59:00,10:08:00,522974,4878183,522918,4878264,EH,AW,NA,98.47334665,
6C4-5,25-May,Clear,10:17:00,10:33:00,523148,4878413,523235,4878460,DT,AW,NA,98.88377015,
6C4-6,25-May,Clear,10:41:00,10:49:00,523338,4878470,523431,4878505,DT,AW,NA,99.3680029,
6C3-1,25-May,Clear,11:32:00,11:50:00,521665,4877343,521702,4877249,EH,AW,NA,101.0198,
6C3-2,25-May,Clear,11:58:00,12:17:00,521747,4877047,521765,4876952,EH,AW,NA,96.69022701,
6C3-3,25-May,Clear,12:41:00,12:55:00,522014,4876694,522098,4876746,DT,AW,NA,98.79271228,
6C3-4,25-May,Clear,13:04:00,13:20:00,522248,4876876,522326,4876928,DT,AW,NA,93.74433316,
6C3-5,25-May,Clear,13:34:00,13:47:00,522453,4877279,522372,4877329,EH,AW,NA,95.18928511,
6C3-6,25-May,Clear,14:02:00,14:12:00,522196,4877415,522105,4877460,EH,AW,NA,101.5184712,
2B1-1,26-May,Overcast,08:24:00,08:34:00,505948,4852197,505921,4852294,DT,AW,NA,100.6876358,
