PK,Weight_g,Total_larvae_dsl,larvae_per_g_dsl,total_eggs_fmagna,eggs_per_g_fmagna,Ptenuis_eggs
1,5.00,0,0.00,0,0.00,NA
2,5.00,0,0.00,0,0.00,NA
3,5.00,0,0.00,0,0.00,NA
4,5.18,0,0.00,0,0.00,NA
5,5.00,0,0.00,1,0.20,NA
6,5.00,0,0.00,0,0.00,NA
7,5.45,1,0.18,1,0.18,NA
8,5.00,0,0.00,0,0.00,NA
9,5.18,0,0.00,0,0.00,NA
10,5.00,47,9.40,4,0.80,NA
11,5.00,0,0.00,0,0.00,NA
12,5.45,4,0.73,0,0.00,NA
13,5.00,4,0.80,1,0.20,NA
14,5.00,486,97.20,5,1.00,NA
15,5.26,28,5.32,0,0.00,NA
16,5.62,1,0.18,0,0.00,NA
17,5.19,1,0.19,1,0.19,NA
18,5.16,26,5.04,0,0.00,NA
19,5.00,0,0.00,1,0.20,NA
20,5.13,14,2.73,1,0.19,NA
21,5.00,30,6.00,1,0.20,NA
22,5.00,1,0.20,11,2.20,NA
23,5.00,0,0.00,5,1.00,NA
24,5.00,1,0.20,1,0.20,NA
25,5.00,19,3.80,0,0.00,NA
26,5.00,0,0.00,0,0.00,NA
27,5.00,2,0.40,17,3.40,NA
28,5.00,153,30.60,1,0.20,NA
29,5.00,23,4.60,0,0.00,NA
30,5.00,0,0.00,2,0.40,NA
31,5.00,3,0.60,1,0.20,NA
32,5.00,0,0.00,0,0.00,NA
33,5.00,32,6.40,0,0.00,NA
34,5.00,1,0.20,0,0.00,NA
35,5.00,0,0.00,0,0.00,NA
36,5.00,16,3.20,1,0.20,NA
37,5.00,0,0.00,0,0.00,NA
38,5.00,3,0.60,1,0.20,NA
39,5.00,3,0.60,3,0.60,NA
40,5.00,0,0.00,0,0.00,NA
41,5.00,1028,205.60,0,0.00,NA
42,5.00,0,0.00,1,0.20,NA
43,5.00,11,2.20,0,0.00,NA
44,5.00,0,0.00,0,0.00,NA
45,5.00,1,0.20,3,0.60,NA
46,5.00,0,0.00,1,0.20,NA
47,5.00,0,0.00,0,0.00,NA
48,5.00,0,0.00,0,0.00,NA
49,5.00,0,0.00,0,0.00,NA
50,5.00,8,1.60,3,0.60,NA
51,5.00,3,0.60,1,0.20,NA
52,5.00,0,0.00,10,2.00,NA
53,5.00,4,0.80,0,0.00,NA
54,5.00,7,1.40,0,0.00,NA
55,5.00,0,0.00,0,0.00,NA
56,5.00,0,0.00,4,0.80,NA
57,5.00,0,0.00,0,0.00,NA
58,5.00,0,0.00,0,0.00,NA
59,5.00,0,0.00,0,0.00,NA
60,5.00,0,0.00,0,0.00,NA
61,5.00,0,0.00,0,0.00,NA
62,5.00,0,0.00,0,0.00,NA
63,5.00,21,4.20,0,0.00,NA
64,5.00,0,0.00,0,0.00,NA
65,5.00,0,0.00,0,0.00,NA
66,5.00,0,0.00,0,0.00,NA
67,5.00,26,5.20,0,0.00,NA
68,5.00,2,0.40,0,0.00,NA
69,5.00,6,1.20,0,0.00,NA
70,5.00,0,0.00,0,0.00,NA
71,5.00,4,0.80,0,0.00,NA
72,5.00,2,0.40,1,0.20,NA
73,5.00,0,0.00,0,0.00,NA
74,5.00,1,0.20,0,0.00,NA
75,5.00,0,0.00,0,0.00,NA
76,5.00,0,0.00,0,0.00,NA
77,5.00,208,41.60,0,0.00,NA
78,5.00,0,0.00,15,3.00,NA
79,5.00,1,0.20,0,0.00,NA
80,5.00,0,0.00,0,0.00,NA
81,,0,0.00,NA,NA,NA
82,,11,2.20,NA,NA,NA
83,,0,0.00,NA,NA,NA
84,,3,0.60,NA,NA,NA
85,,5,1.00,NA,NA,NA
86,,0,0.00,NA,NA,NA
87,,5,1.00,NA,NA,NA
88,,74,14.80,NA,NA,NA
89,,64,12.80,NA,NA,NA
90,,0,0.00,NA,NA,NA
91,,0,0.00,NA,NA,NA
92,,0,0.00,NA,NA,NA
93,,0,0.00,NA,NA,NA
94,,0,0.00,NA,NA,NA
95,,0,0.00,NA,NA,NA
96,,0,0.00,NA,NA,NA
97,,0,0.00,NA,NA,NA
98,,0,0.00,NA,NA,NA
99,,0,0.00,NA,NA,NA
100,,0,0.00,NA,NA,NA
101,,112,22.40,NA,NA,NA
102,,65,13.00,NA,NA,NA
103,,149,29.80,NA,NA,NA
104,,4,0.80,NA,NA,NA
105,,11,2.20,NA,NA,NA
106,,0,0.00,NA,NA,NA
107,,2,0.40,NA,NA,NA
108,2.32,43,18.53,NA,NA,NA
109,2.65,0,0.00,NA,NA,NA
110,,283,56.60,NA,NA,NA
111,,0,0.00,NA,NA,NA
112,,361,72.20,NA,NA,NA
113,,0,0.00,NA,NA,NA
114,5.35,0,0.00,NA,NA,NA
115,,0,0.00,NA,NA,NA
116,,3,0.60,NA,NA,NA
117,,0,0.00,NA,NA,NA
118,,0,0.00,NA,NA,NA
119,,68,13.60,NA,NA,NA
120,5.33,0,0.00,NA,NA,NA
121,,0,0.00,NA,NA,NA
122,,131,26.20,NA,NA,NA
123,,0,0.00,NA,NA,NA
124,3.14,0,0.00,NA,NA,NA
125,,3,0.60,NA,NA,NA
126,,29,5.80,NA,NA,NA
127,,0,0.00,NA,NA,NA
128,,0,0.00,NA,NA,NA
129,,8,1.60,NA,NA,NA
130,,0,0.00,NA,NA,NA
131,,0,0.00,NA,NA,NA
132,,6,1.20,NA,NA,NA
133,,0,0.00,NA,NA,NA
134,,0,0.00,NA,NA,NA
135,,0,0.00,NA,NA,NA
136,,0,0.00,NA,NA,NA
137,,0,0.00,NA,NA,NA
138,,0,0.00,NA,NA,NA
139,,0,0.00,NA,NA,NA
140,,0,0.00,NA,NA,NA
141,,0,0.00,NA,NA,NA
142,,0,0.00,NA,NA,NA
143,,0,0.00,NA,NA,NA
144,,0,0.00,NA,NA,NA
145,,137,27.40,NA,NA,NA
146,,21,4.20,NA,NA,NA
147,,207,41.40,NA,NA,NA
148,,0,0.00,NA,NA,NA
149,,0,0.00,NA,NA,NA
150,,0,0.00,NA,NA,NA
151,,14,2.80,NA,NA,NA
152,,0,0.00,NA,NA,NA
153,,0,0.00,NA,NA,NA
154,,0,0.00,NA,NA,NA
155,,0,0.00,NA,NA,NA
156,,610,122.00,NA,NA,NA
157,,434,86.80,NA,NA,NA
158,,397,79.40,NA,NA,NA
159,,178,35.60,NA,NA,NA
160,,1255,251.00,NA,NA,NA
161,,239,47.80,NA,NA,NA
162,,90,18.00,NA,NA,NA
163,,349,69.80,NA,NA,NA
164,,170,34.00,NA,NA,NA
165,,110,22.00,NA,NA,NA
166,,129,25.80,NA,NA,NA
167,,189,37.80,NA,NA,NA
168,,160,32.00,NA,NA,NA
169,,86,17.20,NA,NA,NA
170,,119,23.80,NA,NA,NA
171,,289,57.80,NA,NA,NA
172,,139,27.80,NA,NA,NA
173,,97,19.40,NA,NA,NA
174,,248,49.60,NA,NA,NA
175,,120,24.00,NA,NA,NA
176,,83,16.60,NA,NA,NA
177,,0,0.00,NA,NA,NA
178,,0,0.00,NA,NA,NA
179,,159,31.80,NA,NA,NA
180,,60,12.00,NA,NA,NA
181,,142,28.40,NA,NA,NA
182,,801,160.20,NA,NA,NA
183,,430,86.00,NA,NA,NA
184,,305,61.00,NA,NA,NA
185,,3,0.60,NA,NA,NA
186,,0,0.00,NA,NA,0
187,,0,0.00,NA,NA,0
188,,0,0.00,NA,NA,0
189,,0,0.00,NA,NA,0
190,,0,0.00,NA,NA,0
191,,0,0.00,NA,NA,0
192,,0,0.00,NA,NA,0
193,,31,6.20,NA,NA,0
194,,0,0.00,NA,NA,0
195,,0,0.00,NA,NA,0
196,,0,0.00,NA,NA,0
197,,0,0.00,NA,NA,0
198,,0,0.00,NA,NA,0
199,,0,0.00,NA,NA,0
200,,1,0.20,NA,NA,0
201,,0,0.00,NA,NA,0
202,,0,0.00,NA,NA,0
203,,0,0.00,NA,NA,0
204,,0,0.00,NA,NA,0
205,,0,0.00,NA,NA,0
206,,0,0.00,NA,NA,0
207,,0,0.00,NA,NA,0
208,,0,0.00,NA,NA,0
209,,0,0.00,NA,NA,0
210,,10,2.00,NA,NA,0
211,,0,0.00,NA,NA,0
212,,0,0.00,NA,NA,0
213,,0,0.00,NA,NA,0
214,,0,0.00,NA,NA,0
215,,0,0.00,NA,NA,0
216,,0,0.00,NA,NA,0
217,,4,0.80,NA,NA,0
218,,0,0.00,NA,NA,0
219,,0,0.00,NA,NA,0
220,,0,0.00,NA,NA,0
221,,0,0.00,NA,NA,0
222,,0,0.00,NA,NA,0
223,,0,0.00,NA,NA,0
224,,0,0.00,NA,NA,0
225,,0,0.00,NA,NA,0
226,,0,0.00,NA,NA,0
227,,0,0.00,NA,NA,0
228,,0,0.00,NA,NA,0
229,,128,25.60,NA,NA,0
230,,0,0.00,NA,NA,0
231,,0,0.00,NA,NA,0
232,,0,0.00,NA,NA,0
233,,0,0.00,NA,NA,0
234,,0,0.00,NA,NA,0
235,,0,0.00,NA,NA,0
236,,0,0.00,NA,NA,0
237,,0,0.00,NA,NA,0
238,,9,1.80,NA,NA,0
239,,0,0.00,NA,NA,0
240,,0,0.00,NA,NA,0
241,,0,0.00,NA,NA,0
242,,0,0.00,NA,NA,0
243,,0,0.00,NA,NA,0
244,,0,0.00,NA,NA,0
245,,0,0.00,NA,NA,0
246,,0,0.00,NA,NA,0
247,,0,0.00,NA,NA,0
248,,15,3.00,NA,NA,0
249,,0,0.00,NA,NA,0
250,,0,0.00,NA,NA,0
251,,0,0.00,NA,NA,1
252,,0,0.00,NA,NA,0
253,,0,0.00,NA,NA,0
254,,5,1.00,NA,NA,0
255,,0,0.00,NA,NA,1
256,,0,0.00,NA,NA,0
257,,0,0.00,NA,NA,0
258,,0,0.00,NA,NA,0
259,,0,0.00,NA,NA,0
260,,0,0.00,NA,NA,0
261,,0,0.00,NA,NA,0
262,,0,0.00,NA,NA,0
263,,0,0.00,NA,NA,0
264,,0,0.00,NA,NA,0
265,,0,0.00,NA,NA,0
266,,0,0.00,NA,NA,0
267,,0,0.00,NA,NA,0
268,,0,0.00,NA,NA,0
269,,0,0.00,NA,NA,0
270,,0,0.00,NA,NA,0
271,,0,0.00,NA,NA,0
272,,0,0.00,NA,NA,0
273,,0,0.00,NA,NA,0
274,,0,0.00,NA,NA,0
275,,0,0.00,NA,NA,0
276,,0,0.00,NA,NA,0
277,,0,0.00,NA,NA,0
278,,8,1.60,NA,NA,0
279,,0,0.00,NA,NA,0
280,,0,0.00,NA,NA,0
281,,0,0.00,NA,NA,0
282,,0,0.00,NA,NA,0
283,,0,0.00,NA,NA,0
284,,3,0.60,NA,NA,1
285,,0,0.00,NA,NA,0
286,,126,25.20,NA,NA,0
287,,0,0.00,NA,NA,0
288,,0,0.00,NA,NA,0
289,,0,0.00,NA,NA,0
290,,0,0.00,NA,NA,0
291,,0,0.00,NA,NA,0
292,,0,0.00,NA,NA,0
293,,0,0.00,NA,NA,0
294,,2,0.40,NA,NA,0
295,,0,0.00,NA,NA,0
296,,0,0.00,NA,NA,0
297,,0,0.00,NA,NA,0
298,,0,0.00,NA,NA,0
299,,0,0.00,NA,NA,0
300,,0,0.00,NA,NA,0
301,,0,0.00,NA,NA,0
302,,0,0.00,NA,NA,1
303,,0,0.00,NA,NA,0
304,,0,0.00,NA,NA,0
305,,0,0.00,NA,NA,1
306,,5,1.00,NA,NA,1
307,,0,0.00,NA,NA,1
308,,0,0.00,NA,NA,0
309,,0,0.00,NA,NA,0
310,,0,0.00,NA,NA,0
311,,0,0.00,NA,NA,0
312,,0,0.00,NA,NA,0
313,,0,0.00,NA,NA,0
314,,0,0.00,NA,NA,0
315,,0,0.00,NA,NA,0
316,,79,15.80,NA,NA,0
317,,0,0.00,NA,NA,0
318,,0,0.00,NA,NA,0
319,,24,4.80,NA,NA,0
320,,0,0.00,NA,NA,0
321,,0,0.00,NA,NA,0
322,,0,0.00,NA,NA,0
323,,41,8.20,NA,NA,0
324,,0,0.00,NA,NA,0
325,,0,0.00,NA,NA,0
326,,0,0.00,NA,NA,0
327,,0,0.00,NA,NA,0
328,,0,0.00,NA,NA,1
329,,0,0.00,NA,NA,1
330,,0,0.00,NA,NA,0
331,,0,0.00,NA,NA,0
332,,14,2.80,NA,NA,0
333,,0,0.00,NA,NA,0
334,,33,6.60,NA,NA,0
335,,0,0.00,NA,NA,0
336,,2,0.40,NA,NA,0
337,,0,0.00,NA,NA,0
338,,0,0.00,NA,NA,0
339,,0,0.00,NA,NA,0
340,,7,1.40,NA,NA,0
341,,NA,NA,NA,NA,0
342,,0,0.00,NA,NA,0
343,,84,16.80,NA,NA,0
344,,0,0.00,NA,NA,0
345,,5,1.00,NA,NA,0
346,,0,0.00,NA,NA,0
347,,0,0.00,NA,NA,0
348,,11,2.20,NA,NA,0
349,,0,0.00,NA,NA,0
350,,0,0.00,NA,NA,1
351,,0,0.00,NA,NA,0
