PK,Total_eggs,Eggs_per_gram
1,0,0.00
2,0,0.00
3,0,0.00
4,19,9.50
5,99,49.50
6,5,2.50
7,77,38.50
8,0,0.00
9,28,14.00
10,134,67.00
11,1,0.50
12,0,0.00
13,35,17.50
14,62,31.00
15,0,0.00
16,10,5.00
17,4,2.00
18,0,0.00
19,79,39.50
20,3,1.50
21,7,3.50
22,39,19.50
23,23,11.50
24,12,6.00
25,0,0.00
26,0,0.00
27,202,101.00
28,24,12.00
29,0,0.00
30,40,20.00
31,228,114.00
32,117,58.50
33,0,0.00
34,3,1.50
35,18,9.00
36,9,4.50
37,0,0.00
38,80,40.00
39,91,45.50
40,11,5.50
41,8,4.00
42,30,15.00
43,178,89.00
44,0,0.00
45,11,5.50
46,24,12.00
47,4,2.00
48,12,6.00
49,32,16.00
50,25,12.50
51,136,68.00
52,142,71.00
53,0,0.00
54,0,0.00
55,3,1.50
56,45,22.50
57,1,0.50
58,50,25.00
59,32,16.00
60,68,34.00
61,150,75.00
62,21,10.50
63,89,44.50
64,0,0.00
65,0,0.00
66,0,0.00
67,5,2.50
68,236,118.00
69,65,32.50
70,0,0.00
71,0,0.00
72,67,33.50
73,0,0.00
74,3,1.50
75,0,0.00
76,0,0.00
77,5,2.50
78,149,74.50
79,0,0.00
80,0,0.00
81,0,0.00
82,0,0.00
83,0,0.00
84,0,0.00
85,0,0.00
86,0,0.00
87,18,9.00
88,16,8.00
89,0,0.00
90,34,17.00
91,0,0.00
92,219,109.50
93,1,0.50
94,23,11.50
95,140,70.00
96,2,1.00
97,0,0.00
98,0,0.00
99,4,2.00
100,0,0.00
101,6,13.30
102,0,0.00
103,122,61.00
104,14,7.00
105,30,15.00
106,0,0.00
107,0,0.00
108,0,0.00
109,0,0.00
110,16,8.00
111,0,0.00
112,0,0.00
113,0,0.00
114,0,0.00
115,0,0.00
116,10,5.00
117,0,0.00
118,0,0.00
119,0,0.00
120,0,0.00
121,0,0.00
122,0,0.00
123,0,0.00
124,0,0.00
125,0,0.00
126,0,0.00
127,15,7.50
128,117,58.50
129,100,50.00
130,2,1.00
131,80,40.00
