Animal ID,Specimen,Family,Genus,Species,Date Collected,Positive,Bad Result,Plate Number,Plot ID,Easting,Northing,Sample Run,Collected By
1,Slug,Philomycidae,Philomycus,togatus,6/20/2017,FALSE,,4,2017-S1,562688,4867813,01:10,Sam Peterson & Rene Tam
2,Slug,Arionidae,Arion,subfuscus,6/20/2017,FALSE,,4,2017-S2,562303,4868603,01:10,Sam Peterson & Rene Tam
3,Slug,Arionidae,Arion,subfuscus,6/20/2017,FALSE,,4,2017-S3,562500,4867884,01:10,Sam Peterson & Rene Tam
4,Slug,Philomycidae,unknown,unknown,6/21/2017,FALSE,,4,2017-S4,556789,4871807,01:10,Sam Peterson & Rene Tam
5,Slug,Philomycidae,Philomycus,carolinianus,6/21/2017,FALSE,,4,2017-S5,557558,4874191,01:10,Sam Peterson & Rene Tam
6,Slug,Arionidae,Arion,subfuscus,6/21/2017,FALSE,,4,2017-S6,556789,4871807,01:10,Sam Peterson & Rene Tam
7,Snail,Oxychilidae,Oxychilus,draparnaudi,6/21/2017,TRUE,,4,2017-S7,557584,4874211,01:10,Sam Peterson & Rene Tam
8,Slug,Arionidae,Arion,subfuscus,6/26/2017,FALSE,,4,2017-S8,572246,4939704,01:10,Sam Peterson & Rene Tam
9,Slug,Arionidae,Arion,intermedius,7/8/2017,FALSE,,4,2017-S9,503288,4889534,01:10,Sam Peterson & Rene Tam
10,Slug,Philomycidae,Philomycus,flexuolaris,7/8/2017,FALSE,,4,2017-S10,501595,4889534,01:10,Sam Peterson & Rene Tam
11,Slug,Arionidae,Arion,subfuscus,7/8/2017,FALSE,,4,2017-S11,503288,4889534,01:10,Sam Peterson & Rene Tam
12,Slug,Arionidae,Arion,subfuscus,7/8/2017,FALSE,,4,2017-S12,503288,4889534,01:10,Sam Peterson & Rene Tam
13,Snail,Zonitidae,Mesomphix,inornatus,7/8/2017,FALSE,,4,2017-S13,503336,4889170,01:10,Sam Peterson & Rene Tam
14,Slug,Arionidae,Arion,subfuscus,7/9/2017,FALSE,,4,2017-S14,482680,4886945,01:10,Sam Peterson & Rene Tam
15,Slug,Arionidae,Arion,subfuscus,7/9/2017,FALSE,,4,2017-S15,504472,4888326,01:10,Sam Peterson & Rene Tam
16,Slug,Arionidae,Arion,subfuscus,7/11/2017,TRUE,,4,2017-S16,543039,4871641,01:10,Sam Peterson & Rene Tam
17,Slug,Arionidae,Arion,subfuscus,7/13/2017,FALSE,,4,2017-S17,555615,4857195,01:10,Sam Peterson & Rene Tam
18,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
19,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
20,Slug,Arionidae,Arion,subfuscus,7/26/2017,FALSE,,5,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
21,Snail,Oxychilidae,Oxychilus,unknown,7/26/2017,FALSE,,10,2017-12B3-t1-1,582601.13,4945652,01:10,Alec Wong
22,Snail,Oxychilidae,Oxychilus,unknown,7/30/2017,FALSE,,10,2017-12B3-t3,583243.06,4945489,01:10,Alec Wong
